est_pEX2,est_pKX2,rss,convergence,percK_pass0,percK_pass1,percK_pass2,percK_pass3,percK_pass4,percK_pass5
0,5.35023644139344,1981.32833157046,0,16.39,28.2912970475524,44.2616428943659,61.5140461710579,76.2873678900794,86.6230369840792
0,5.56094264861998,2128.17744273967,0,16.39,28.7577952598668,45.3934662513159,63.1258775950589,77.9031612830859,87.8941932072112
0,7.52113401194535,1884.87973304315,0,16.39,33.0582056688598,55.4403098760142,75.814334574021,88.7612594437245,95.2149650664866
57.8289884039106,80.3626050678469,2480.90756646942,0,16.39,31.1686980488046,51.0733642773854,70.17556949769,81.8067647142024,86.9784298745765
57.4511511751029,76.9821091594853,3400.99713538252,0,16.39,29.0187420092736,45.9808640639612,63.5489712759543,76.0129695045602,82.1832658266696
120.051933885297,164.092472093035,1752.05486756598,0,16.39,38.1743913147803,64.2165856520516,73.6669530677335,79.2471728639374,83.8166743656309
46.186924346687,64.2411622257655,1765.27697881335,0,16.39,29.2891095606317,46.6534798214184,64.7524754540209,78.8631279637396,86.8005765129796
70.8376721561633,96.5884465934707,2860.40500914117,0,16.39,31.8919145304721,52.677472649019,71.0489472927199,79.5452386003881,84.3740668860157
39.0649332085274,55.5952658936608,1453.02449582891,0,16.39,29.0840541626837,46.1685579486316,64.1556392296847,78.7041544716513,87.8826974995878
44.5087962287345,63.246303424229,1849.93179299996,0,16.39,30.0802871025408,48.5451867832091,67.3138794848915,81.3454274615591,88.9669455831406
44.5087962287345,63.246303424229,1849.93179299996,0,16.39,30.0802871025408,48.5451867832091,67.3138794848915,81.3454274615591,88.9669455831406
99.994538556877,133.670382876088,2632.34211272424,0,16.39,33.9977046070338,56.8839338240859,70.107170693574,75.9918268683743,80.900920224939
99.994538556877,133.670382876088,2632.34211272424,0,16.39,33.9977046070338,56.8839338240859,70.107170693574,75.9918268683743,80.900920224939
101.512714007079,138.330244622403,1579.85362700633,0,16.39,35.7454221161246,60.4748013881872,73.3323695612719,79.0268809385558,83.672197279925
75.5090071405658,102.97105911958,2596.51480512159,0,16.39,32.5292421548139,54.0858409921062,72.0120667074765,79.5259410966483,84.2910741680039
41.2708354714696,58.6315137742204,2305.22098879426,0,16.39,29.4397033382401,47.0210120966904,65.3090449188736,79.7090280995897,88.3378918368191
41.2708354714696,58.6315137742204,2305.22098879426,0,16.39,29.4397033382401,47.0210120966904,65.3090449188736,79.7090280995897,88.3378918368191
41.2708354714696,58.6315137742204,2305.22098879426,0,16.39,29.4397033382401,47.0210120966904,65.3090449188736,79.7090280995897,88.3378918368191
110.865101357841,149.056111252549,1322.65979274941,0,16.39,35.6645578240072,59.9348889247854,71.0211645610259,76.7678160075709,81.5806589577213
110.865101357841,149.056111252549,1322.65979274941,0,16.39,35.6645578240072,59.9348889247854,71.0211645610259,76.7678160075709,81.5806589577213
41.2708354714696,58.6315137742204,2305.22098879426,0,16.39,29.4397033382401,47.0210120966904,65.3090449188736,79.7090280995897,88.3378918368191
37.0984903032971,53.5652802536865,2081.97888994973,0,16.39,29.3485189426437,46.806273047764,65.0451030837015,79.6089883301661,88.7522739503478
37.0984903418097,53.5652802998503,2081.97888994973,0,16.39,29.3485189428395,46.8062730482021,65.0451030840909,79.6089883295494,88.7522739465892
46.6096246874154,68.0607667334451,2305.89691567446,0,16.39,31.9547491815535,52.9156909866608,72.7463989435554,85.697711508251,91.5750621900235
37.0984903032971,53.5652802536865,2081.97888994973,0,16.39,29.3485189426437,46.806273047764,65.0451030837015,79.6089883301661,88.7522739503478
46.6096246874154,68.0607667334451,2305.89691567446,0,16.39,31.9547491815535,52.9156909866608,72.7463989435554,85.697711508251,91.5750621900235
79.5268747911851,111.499851186943,1605.26717487326,0,16.39,35.0785953230276,59.5870732450857,77.0109985883175,83.2968718684556,87.5488980552999
66.4310987366629,90.7718579686956,1521.30057340837,0,16.39,31.4193607149897,51.6181151793751,70.2599110287008,79.8472673412621,84.7520892615612
98.7155996286981,137.079879949284,1763.97361094168,0,16.39,36.9809840018897,63.0233814152235,76.2658864173459,81.7637119891298,86.1172611702752
98.7155996296109,137.079879949687,1763.97361094168,0,16.39,36.9809840014761,63.0233814143878,76.2658864164071,81.7637119882664,86.1172611695147
82.0273493889251,112.038231999872,1798.30593006622,0,16.39,33.5002311001763,56.1703328305445,73.1309477877585,79.685771627213,84.3720497553944
82.0273493922193,112.038232004234,1798.30593006622,0,16.39,33.5002311005155,56.1703328312443,73.130947787862,79.6857716269875,84.3720497551665
82.0273493922193,112.038232004234,1798.30593006622,0,16.39,33.5002311005155,56.1703328312443,73.130947787862,79.6857716269875,84.3720497551665
82.0273493889251,112.038231999872,1798.30593006622,0,16.39,33.5002311001763,56.1703328305445,73.1309477877585,79.685771627213,84.3720497553944
52.3318506593355,74.4886259389079,1611.32807025834,0,16.39,31.6336026698389,52.1654910801975,71.7150088758109,84.1263447609981,89.5046851972956
52.331850657627,74.4886259366965,1611.32807025834,0,16.39,31.6336026696978,52.1654910798766,71.7150088754763,84.1263447610144,89.5046851975718
52.3318506593355,74.4886259389079,1611.32807025834,0,16.39,31.6336026698389,52.1654910801975,71.7150088758109,84.1263447609981,89.5046851972956
52.331850657627,74.4886259366965,1611.32807025834,0,16.39,31.6336026696978,52.1654910798766,71.7150088754763,84.1263447610144,89.5046851975718
8.30242112937318,18.9428067631831,3159.49446246662,0,16.39,31.3425776349389,51.5303222005383,71.231108177882,85.2210689363437,93.06979586487
