beta,delta,c,est_pE1,est_pE2,est_pE3,est_pK1,est_pK2,est_pK3,sum_rss,convergence
1.08888888888889e-05,1,3,84.4098669938426,10.7576248634662,26.1141991243783,58.1430626338672,15.8376186637367,73.2549061395959,2339.98162806026,0
1.08888888888889e-05,1,4,97.1666519944572,12.7696255874107,29.3941747068344,68.0941379878248,18.2553444213545,78.6760062314406,2336.96604120858,0
1.08888888888889e-05,1,5,109.679506543435,14.7536694577958,32.4189769180713,77.8521760678459,20.6230745274779,83.6064661192475,2335.06250873149,0
1.08888888888889e-05,1,6,121.823869179872,16.7257322088953,35.2962770313171,87.3349428682217,22.9646533866486,88.2561933656682,2333.78360680326,0
1.08888888888889e-05,1,7,133.904505425498,18.6976093372402,38.097861549436,96.7739970426401,25.2969739646224,92.7591747153398,2332.84934772756,0
1.08888888888889e-05,1,8,147.159531441798,20.6764670981462,40.8688645565665,107.080876190947,27.6302174867261,97.1968022578349,2332.11088720484,0
1.08888888888889e-05,1,9,197.623397715743,22.6661889544102,43.635912500881,144.50334098018,29.9700165914247,101.615669953967,2331.49139670775,0
1.08888888888889e-05,1,10,199.297298946082,24.6687203614731,46.4142191289189,146.461829289012,32.3193725881074,106.041635741477,2330.94969748734,0
1.08888888888889e-05,2,1,60.8871895601033,0,19.2591388881665,39.7738488819648,1.6038864461036,61.8862940814124,2496.63102047798,0
1.08888888888889e-05,2,2,73.0212508858806,9.65283761996141,23.768405861682,49.3594104275084,14.5996636679946,69.5582965640674,2345.83344824005,0
1.08888888888889e-05,2,3,85.5876199622764,11.9778270886187,27.7763176568834,59.2844384011866,17.3806220344613,76.178571437318,2340.32780952032,0
1.08888888888889e-05,2,4,98.83255850354,14.2767330029428,31.3966379371166,69.7015214838492,20.1071357534724,82.0343619106629,2336.57352289536,0
1.08888888888889e-05,2,5,113.921281557076,16.5518563076815,34.7656212776607,81.4604823787927,22.7877624867239,87.4072196225695,2333.98751119718,0
1.08888888888889e-05,2,6,136.307618798,18.8127062293279,37.9869139886334,98.5409553554636,25.4382250887797,92.4971222412101,2332.13003384629,0
1.08888888888889e-05,2,7,200,21.067914685615,41.1289751448905,145.608023441365,28.071689786166,97.4312105598171,2330.7241763937,0
1.08888888888889e-05,2,8,200,23.3234069394997,44.234528047264,146.526779931638,30.697063282122,102.286447521541,2329.62136294589,0
1.08888888888889e-05,2,9,200,25.5830123137049,47.3287559145283,147.394950429579,33.32016666431,107.107249185591,2328.73137260671,0
1.08888888888889e-05,2,10,200,27.8490174902913,50.426139458231,148.224152467608,35.9446113022899,111.918766908671,2327.9975287595,0
1.08888888888889e-05,3,1,62.5429662494225,8.04038681398556,20.2890474389815,41.0644575120017,12.7989464791213,64.0814742826078,2354.65386565268,0
1.08888888888889e-05,3,2,74.7036449361087,10.6300383430036,25.1232679206004,50.7614331030391,15.8858822003526,72.1343706370434,2346.53972008844,0
1.08888888888889e-05,3,3,87.5032254530527,13.2396905024316,29.4800164492031,60.9595652613799,18.9700236764336,79.1885071935038,2340.35959841684,0
1.08888888888889e-05,3,4,101.821893959532,15.8386822733147,33.4666663790456,72.282344793005,22.0181351246864,85.5128798308181,2335.87162064057,0
1.08888888888889e-05,3,5,121.358429131642,18.4179332539313,37.2114549298743,87.4373888656089,25.0240547491913,91.3702888767328,2332.63496791626,0
1.08888888888889e-05,3,6,200,20.9790534322981,40.8093145912088,145.52162674568,27.9937694092653,96.9434346199049,2330.25285770136,0
1.08888888888889e-05,3,7,200,23.5264843769675,44.3214833088163,146.630547000583,30.9356013313363,102.346467317748,2328.47168965464,0
1.08888888888889e-05,3,8,200,26.065242207026,47.7855246452242,147.654857688933,33.8577369328021,107.647859606681,2327.12451370759,0
1.08888888888889e-05,3,9,200,28.599396879952,51.2238371622745,148.614059984571,36.7665835016436,112.888242317289,2326.09093266644,0
1.08888888888889e-05,3,10,200,31.1322935369682,54.6506139486424,149.520043526608,39.667284594988,118.093028307188,2325.28977126414,0
1.08888888888889e-05,4,1,64.3400641355566,8.77355940940677,21.3361487546821,42.451950763345,13.8336102078491,66.3359117557161,2355.50855971385,0
1.08888888888889e-05,4,2,76.6650986894484,11.6300464145539,26.5013413290387,52.3627019602559,17.198794397708,74.7722052731566,2347.01419934758,0
1.08888888888889e-05,4,3,89.9147124696584,14.5316903187469,31.2186369986853,62.9976411361633,20.5924256798827,82.2710716244302,2340.19237979282,0
1.08888888888889e-05,4,4,105.617970005498,17.439077041184,35.588245638603,75.4654206174371,23.9693350774071,89.0819423367135,2335.01679465503,0
1.08888888888889e-05,4,5,197.32457033361,20.3299706234019,39.7278930540171,143.160285578817,27.3065729456409,95.4451451014796,2331.20505411719,0
1.08888888888889e-05,4,6,200,23.1965372103267,43.7207581455401,146.448941056533,30.5986671970393,101.521598205268,2328.39684314227,0
1.08888888888889e-05,4,7,200,26.0392124484139,47.6181264217605,147.673063572608,33.8494944938524,107.408456514294,2326.3816965229,0
1.08888888888889e-05,4,8,200,28.8622820645626,51.4507999093342,148.793876088232,37.0668092470472,113.163770282368,2324.93967804287,0
1.08888888888889e-05,4,9,200,31.6709303380039,55.2384541584346,149.8309856269,40.2587516413657,118.824569074854,2323.91114261342,0
1.08888888888889e-05,4,10,200,34.4697523526527,58.995266904301,150.798285031507,43.4321993007518,124.417247942911,2323.18188400193,0
1.08888888888889e-05,5,1,66.2584530832974,9.51974306641801,22.4010154265948,43.9233776477517,14.8853366178497,68.647855682075,2356.16008811527,0
1.08888888888889e-05,5,2,78.8398884977668,12.6468728732496,27.9004521403976,54.1173419821801,18.5314710769221,77.4658535582588,2347.32210975568,0
1.08888888888889e-05,5,3,92.6445643306259,15.8444029224878,32.9832714742997,65.2703104500292,22.2370537078032,85.4093397562049,2339.91766781733,0
1.08888888888889e-05,5,4,109.835208145747,19.0639649340556,37.7414532499141,78.9670134564184,25.9448229177616,92.7068181843138,2334.12784904968,0
1.08888888888889e-05,5,5,200,22.2689959016496,42.2810204029002,145.892257533048,29.6137630550281,99.5748184292289,2329.81953713349,0
1.08888888888889e-05,5,6,200,25.4414216695175,46.6724280057611,147.369722384488,33.2261300551815,106.151485690219,2326.73307741281,0
1.08888888888889e-05,5,7,200,28.5779366346245,50.9571778877478,148.695818510496,36.7818221123542,112.517941360915,2324.63211592827,0
1.08888888888889e-05,5,8,200,31.682928416976,55.1584929404011,149.898158950883,40.2892538234537,118.720560620163,2323.24606723304,0
1.08888888888889e-05,5,9,200,34.7631286723271,59.2937586746688,150.997981687003,43.7588080139994,124.793664973869,2322.36472629817,0
1.08888888888889e-05,5,10,200,37.8249444018007,63.3776923863512,152.012078462109,47.1997902239986,130.765366583711,2321.83476803071,0
1.08888888888889e-05,6,1,68.2805305051788,10.2761467931093,23.4828934152668,45.4670264867736,15.9507594391807,71.0132472745254,2356.65043214322,0
1.08888888888889e-05,6,2,81.1761661235844,13.675869424151,29.3177926764386,55.9884246959573,19.87859222021,80.2084885153173,2347.51462456149,0
1.08888888888889e-05,6,3,95.5685694511468,17.1704658891458,34.7650793231367,67.6860283171121,23.8956274751743,88.5872326850777,2339.60056175569,0
1.08888888888889e-05,6,4,114.200268785729,20.7026956575832,39.9077918322591,82.5823634938166,27.9327422358995,96.3566397601072,2333.28302448974,0
1.08888888888889e-05,6,5,200,24.2208612338734,44.8406953813609,146.676817492651,31.9300309886073,103.71092217598,2328.58370310798,0
1.08888888888889e-05,6,6,200,3.70313251917866,49.6233199723008,148.258389739889,6.67008539785378,110.769012602883,2495.13246924325,0
1.08888888888889e-05,6,7,200,31.1230123407543,54.2873440468654,149.669671693816,39.7115659236977,117.596077772384,2323.28817802954,0
1.08888888888889e-05,6,8,200,34.5057443064102,58.8513276535826,150.938378093008,43.5024971724653,124.23174173758,2322.0845858942,0
1.08888888888889e-05,6,9,200,37.8533204394339,63.3303027194972,152.087953292804,47.2432817382762,130.707290923873,2321.46536311176,0
1.08888888888889e-05,6,10,200,41.1739492033603,67.7396787597606,153.137941581094,50.945586158334,137.052543350294,2321.23509660603,0
1.08888888888889e-05,7,1,70.3906301302469,11.0406182878921,24.5807200786146,47.0722222662344,17.0272691052299,73.4276671840822,2357.01506190455,0
1.08888888888889e-05,7,2,83.6346734413335,14.7136797778144,30.7505249693061,57.9476004410869,21.2363670352929,82.9935082058833,2347.62952286481,0
1.08888888888889e-05,7,3,98.6066204785226,18.5046908734555,36.5570599131427,70.1849321201753,25.5624623353688,91.7923767550079,2339.2827884896,0
1.08888888888889e-05,7,4,118.54628242005,22.3478490496263,0,86.1845925335482,29.9251190169052,20.3670747775938,2340.43397893679,0
1.08888888888889e-05,7,5,200,2.87115329074356,47.3859439628197,147.432382482951,5.86646233702726,107.821531064174,2495.22537640959,0
1.08888888888889e-05,7,6,200,29.950566228637,52.5445260843904,149.09975410082,38.4811143021367,115.331233756467,2324.24342975337,0
1.08888888888889e-05,7,7,200,33.6625337495725,57.575179175807,150.579922899888,42.6269067391201,122.594508397928,2322.33231096891,0
1.08888888888889e-05,7,8,200,37.3184614972312,62.4931413974299,151.901888944667,46.6948183636305,129.646140448191,2321.40207180667,0
1.08888888888889e-05,7,9,200,40.9285811728391,67.3124916276406,153.091128252998,50.7001143068603,136.516277903317,2321.12537070807,0
1.08888888888889e-05,7,10,200,44.5037473874408,72.0488983197229,154.169238280251,54.657861520643,143.235456343133,2321.26429356963,0
1.08888888888889e-05,8,1,72.57507384503,11.8115232238773,25.6930728413504,48.72949987227,18.1128548997916,75.8863091283625,2357.2827809055,0
1.08888888888889e-05,8,2,86.1870451966824,15.7578260705841,32.1962066498883,59.9742183506757,22.6020115808705,85.8152500761853,2347.69332514003,0
1.08888888888889e-05,8,3,101.713031755092,19.8435098055606,38.3544719784092,72.7325472436154,27.2337669372525,95.0164922682844,2338.98798992009,0
1.08888888888889e-05,8,4,200,23.9944696265429,44.2319424759039,146.177992129566,31.9168359153631,103.655350929416,2331.92341257976,0
1.08888888888889e-05,8,5,200,28.1286536900138,49.9060385157202,148.151916456175,36.5539016324853,111.891845041571,2326.67314972072,0
1.08888888888889e-05,8,6,200,32.1975253486426,55.4225045618076,149.888099619221,41.0915168870565,119.820564147972,2323.40589361431,0
1.08888888888889e-05,8,7,200,36.1901534886016,60.8046916988606,151.422909019521,45.5223809810442,127.493172782969,2321.70404523398,0
1.08888888888889e-05,8,8,200,7.81797342184937,66.0674079957957,152.787203897231,11.900832921763,134.94381570203,2495.52153382444,0
1.08888888888889e-05,8,9,200,43.9831813248406,71.224789910974,154.008068219452,54.1253507500318,142.202818673004,2321.21614770634,0
1.08888888888889e-05,8,10,200,47.808845616194,76.2923458578809,155.108413367199,58.3332570240609,149.300453261137,2321.76522224899,0
1.08888888888889e-05,9,1,74.8228119306009,12.5880052912171,26.8184511371525,50.4311410073683,19.2064503617827,78.3845071876958,2357.47630070497,0
1.08888888888889e-05,9,2,88.813242717635,16.8066506597431,33.6529208797335,62.0536408257609,23.9736956183854,88.6691456611282,2347.7240849362,0
1.08888888888889e-05,9,3,104.863323582812,21.184681028719,40.1548625865691,75.3103210290837,28.90726490827,98.255239785328,2338.72731090652,0
1.08888888888889e-05,9,4,200,25.6398550220057,46.3793582691065,146.791113858134,33.9053816379103,107.289261155456,2331.3696460092,0
1.08888888888889e-05,9,5,200,30.0756957897033,52.3980877624803,148.833201265459,38.8531675060416,115.919602138694,2325.98330927706,0
1.08888888888889e-05,9,6,200,34.4344628944377,58.2546659245194,150.623743242361,43.6865788155676,124.236484842258,2322.78798459728,0
1.08888888888889e-05,9,7,200,38.7033908680337,63.9734806721316,152.201244350388,48.3967529487782,132.29282705298,2321.33044230962,0
1.08888888888889e-05,9,8,200,42.8919283607473,69.5717456391748,153.598630538365,53.0003015049979,140.126271656294,2321.08413144382,0
1.08888888888889e-05,9,9,200,47.0153181726103,75.0650363226344,154.844259127866,57.5191161813866,147.769084289367,2321.60863863204,0
1.08888888888889e-05,9,10,200,51.0880613785834,80.4686021486956,155.961870181351,61.9728699595682,155.250843135539,2322.58549582203,0
1.08888888888889e-05,10,1,77.1244558551838,13.3676958140482,27.9554498081186,52.1705457915792,20.3050582870042,80.9179806146401,2357.61325267635,0
1.08888888888889e-05,10,2,91.4987786794468,17.8589478380868,35.119197370445,64.1752939954126,25.3500684606076,91.5515689109638,2347.73375009214,0
1.08888888888889e-05,10,3,108.045890252475,0.46119518417022,0,77.9095261196494,3.88214438815575,26.678521712802,2503.25474876206,0
1.08888888888889e-05,10,4,200,27.2825024590627,48.516485081773,147.379561321848,35.8895296141233,110.913116906441,2330.91526068742,0
1.08888888888889e-05,10,5,200,32.0158672632516,54.8644836331128,149.4767752997,41.1424309937575,119.910444323406,2325.44005911492,0
1.08888888888889e-05,10,6,200,36.6604775243306,61.0453117556744,151.309896317659,46.266326781528,128.588600697962,2322.344171153,0
1.08888888888889e-05,10,7,200,41.2017794754596,67.0872813530176,152.920211704962,51.2508016549258,137.006069761683,2321.14372992573,0
1.08888888888889e-05,10,8,200,45.6511113664324,73.0120305802896,154.342737935765,56.1151815202032,145.206766940428,2321.25690794507,0
1.08888888888889e-05,10,9,200,50.0259598380419,78.8383104502827,155.606971927289,60.8842873345394,153.227277615995,2322.19320655201,0
1.08888888888889e-05,10,10,200,54.3429497257807,84.5814694655997,156.737349443521,65.5804266909861,161.096838173051,2323.59754039851,0
2.07777777777778e-05,1,1,29.0975584288006,3.08562286278881,8.08488376227174,18.4329483885877,5.17273345546317,28.7115020342087,2349.09826810528,0
2.07777777777778e-05,1,2,36.6252513349294,4.13760060730363,10.1487740658768,24.1383410015329,6.47607559692413,32.4465696083648,2341.87922647524,0
2.07777777777778e-05,1,3,199.527649650462,5.17561318473813,11.9645620999635,137.848905262101,7.74540380540741,35.6194314963272,2337.34901863712,52
2.07777777777778e-05,1,4,199.660677157514,6.19289562645474,13.5845407134187,139.260704537955,8.97655720362327,38.3802117057681,2334.44280687889,0
2.07777777777778e-05,1,5,199.525430543961,7.19599821665128,15.0760597737827,140.16029459058,10.1814561582909,40.8800681838276,2332.67843280643,0
2.07777777777778e-05,1,6,199.832101330238,8.19323580322741,16.4926040239632,141.182315195278,11.3727908961737,43.2295969981747,2331.52998262809,0
2.07777777777778e-05,1,7,199.893894452453,9.19059073742446,17.8709474716715,141.920917557616,12.5593016703636,45.5011007645302,2330.71406857496,0
2.07777777777778e-05,1,8,200,10.1916770919238,19.2343493015062,142.626047295746,13.7462267442753,47.738565963046,2330.08562827627,0
2.07777777777778e-05,1,9,200,11.1986290054389,20.596653318519,143.216986600258,14.9367049444767,49.9672965079024,2329.57096418011,0
2.07777777777778e-05,1,10,200,12.2122900825499,21.9659841299328,143.784086024095,16.132104413787,52.2016087894021,2329.13198384486,0
2.07777777777778e-05,2,1,29.6386433875199,3.41687852865158,8.52575235352214,18.8676926735716,5.65656806346578,29.7103327715355,2350.32737470054,0
2.07777777777778e-05,2,2,36.7990902885793,4.60019992994451,0,24.3682893328405,7.09836476243437,8.26036783427118,2350.04781833331,0
2.07777777777778e-05,2,3,45.4442915631457,5.78059653298711,12.7325315124269,30.9431774146907,8.5204000913884,37.0183019146626,2337.48659011953,0
2.07777777777778e-05,2,4,58.6133394279374,6.94638223835583,14.5280096558158,40.7232248513781,9.9116271142501,40.0082497239129,2334.01592980703,0
2.07777777777778e-05,2,5,200,8.09918221503209,16.1983106233362,141.019339095508,11.2774639758091,42.7437754492844,2331.69237192567,0
2.07777777777778e-05,2,6,200,9.24444794300221,17.7937851446659,141.910313361612,12.6270056352156,45.3281068944934,2330.07488774212,0
2.07777777777778e-05,2,7,200,10.3867621258571,19.3488452693081,142.690083839971,13.9673945160503,47.8285861857241,2328.90314844077,0
2.07777777777778e-05,2,8,200,11.5293817713276,20.8853416023222,143.403634858745,15.3035758556871,50.2865783167157,2328.01629151992,0
2.07777777777778e-05,2,9,200,12.674349339567,22.4164102794219,144.076458135112,16.6386958870262,52.7263300813094,2327.32306771044,0
2.07777777777778e-05,2,10,200,13.8229524551434,23.949744743142,144.722697111236,17.974788542002,55.1617583424102,2326.76910267323,0
2.07777777777778e-05,3,1,30.3065364899976,0,8.97601888748768,19.3862868316732,0.977615181288008,30.7468443569401,2496.70579590658,0
2.07777777777778e-05,3,2,37.3066418638774,5.07832895360041,11.3614228723534,24.8267014636158,7.73895747418945,34.8591900296429,2343.33735845505,0
2.07777777777778e-05,3,3,45.6936258157041,0,13.5228466697497,31.2826686962941,0.711005707539712,38.467700598311,2495.63117822306,0
2.07777777777778e-05,3,4,59.2231601218906,7.72772062478973,15.506317115099,41.4077357599688,10.8765672265352,41.7026764246359,2333.35868736509,0
2.07777777777778e-05,3,5,200,9.0364124959036,17.370773409872,141.57664608792,12.4089641129528,44.6941334895805,2330.4969168647,0
2.07777777777778e-05,3,6,200,10.3347681780207,19.161264856835,142.574151858967,13.9209201543799,47.5343723381822,2328.50194449601,0
2.07777777777778e-05,3,7,200,11.6259706011252,20.9077954348912,143.459842324789,15.4180397470924,50.2825319755312,2327.09390091624,0
