beta_E, beta_K, delta_E, delta_K, c_E, c_K, est_pE1, est_pE2, est_pE3, est_pK1, est_pK2, est_pK3, sum_rss, convergence
2.7e-06, 2.7e-06, 4, 6.1, 3.6, 3, 200, 69.5874874022129, 45.6785018009926, 148.797816712229, 104.044967951515, 200, 2368.84889838214, 0
2.7e-06, 2.7e-06, 4, 6.1, 3.6, 3.6, 200, 62.2185489626026, 41.0829991944269, 157.215573266381, 101.872340576323, 200, 2393.63063865462, 0
2.7e-06, 2.7e-06, 2.6, 4, 2.4, 2.4, 200, 46.024309593138, 44.9316339799068, 149.948352682169, 76.0350435781555, 200, 2385.32501893926, 0
2.7e-06, 2.7e-06, 2.6, 4, 2.4, 2.8, 200, 42.5622496212715, 41.9746816905542, 155.50534341973, 75.4707702429588, 200, 2399.07675171802, 0
2.7e-06, 2.7e-06, 2.6, 4, 2.4, 3, 200, 2.18098212770886, 40.5448298337063, 158.159658780671, 14.7052093776673, 200, 2512.58529729665, 0
2.7e-06, 2.7e-06, 2.6, 4, 2.4, 3.6, 200, 38.4662715864826, 36.4455569534903, 165.946716710438, 77.822940921083, 200, 2413.71420175542, 0
2.7e-06, 2.7e-06, 2.6, 4, 2.8, 2.4, 200, 53.7315626153318, 48.1729650907872, 144.64952615265, 81.8546826658492, 200, 2369.04039657748, 0
2.7e-06, 2.7e-06, 2.6, 4, 2.8, 2.8, 200, 49.3249266709621, 45.1312826761638, 150.482467065949, 80.3671150751199, 200, 2386.30545532969, 0
2.7e-06, 2.7e-06, 2.6, 4, 2.8, 3, 200, 47.5251729519922, 43.6593379746696, 153.202397351894, 80.0462676151039, 200, 2393.31409837203, 0
2.7e-06, 2.7e-06, 2.6, 4, 2.8, 3.6, 200, 43.5324251452748, 39.4349528782605, 161.012338040251, 80.7206267910219, 200, 2407.59115750474, 0
2.7e-06, 2.7e-06, 2.6, 4, 3, 2.4, 200, 58.0248870978346, 49.7982779718384, 141.951757866131, 85.1722745705304, 200, 2360.86907758901, 0
2.7e-06, 2.7e-06, 2.6, 4, 3, 2.8, 200, 52.9767797567052, 46.7143293741035, 147.953827309939, 83.0396185990877, 200, 2378.96669796869, 0
2.7e-06, 2.7e-06, 2.6, 4, 3, 3, 200, 50.9713688056925, 45.2213936840781, 150.722216275385, 82.5253256730474, 200, 2386.80246949192, 0
2.7e-06, 2.7e-06, 2.6, 4, 3, 3.6, 200, 46.3431321443031, 40.9346336532336, 158.576051388, 82.492168722101, 200, 2403.71493269444, 0
2.7e-06, 2.7e-06, 2.6, 4, 3.6, 2.4, 200, 74.457186147319, 54.6928434888495, 133.725848074597, 98.8479639475986, 200, 2339.50462385875, 0
2.7e-06, 2.7e-06, 2.6, 4, 3.6, 2.8, 200, 65.4247456529965, 51.4824690297214, 140.280704442152, 92.3875476166828, 200, 2356.62556547925, 0
2.7e-06, 2.7e-06, 2.6, 4, 3.6, 3, 200, 62.4055292926798, 49.9267583881891, 143.240648183492, 90.8433060021857, 200, 2365.3197398162, 0
2.7e-06, 2.7e-06, 2.6, 4, 3.6, 3.6, 200, 55.9025310158501, 45.4535096233461, 151.354232149307, 88.9796303772451, 200, 2388.27669106865, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 2.4, 2.4, 200, 54.019731253138, 53.0955060091512, 135.28750143158, 77.0541094787377, 200, 2360.5441954885, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 2.4, 2.8, 200, 2.48964526256048, 49.9949241853284, 141.283384133713, 11.4663463235614, 200, 2507.44366584528, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 2.4, 3, 200, 47.2010662348924, 48.4913159533973, 144.044622823711, 74.380157844455, 200, 2383.79056421587, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 2.4, 3.6, 200, 42.8561830624635, 44.1636720778226, 151.784558377685, 74.3114610563347, 200, 2399.70138635991, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 2.8, 2.4, 200, 66.1363130999834, 56.5574116412722, 129.457852711361, 87.3364739573087, 200, 2342.97322114439, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 2.8, 2.8, 200, 58.2841700638179, 53.3754810811888, 135.909295168886, 82.0475935947145, 200, 2359.18827927517, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 2.8, 3, 200, 55.5806299927212, 51.831457774124, 138.846513200341, 80.7337939262115, 200, 2367.05278514232, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 2.8, 3.6, 200, 49.7400522254148, 47.3836350646327, 146.893845853762, 79.1889797794635, 200, 2387.28746398887, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 3, 2.4, 200, 73.5794075470036, 58.2927030458245, 126.496119190065, 93.8425141603535, 200, 2336.04526459692, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 3, 2.8, 200, 63.8137000960701, 55.0701763513232, 133.162103698144, 86.5900435908333, 200, 2350.74979134925, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 3, 3, 200, 60.4139548594345, 53.5059921660115, 136.193117428668, 84.5365285164406, 200, 2358.59133697368, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 3, 3.6, 200, 53.5338101844919, 48.9982449996535, 144.431076858202, 81.9506307483858, 200, 2380.00770514961, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 3.6, 2.4, 200, 99.7037060338239, 63.5161695670914, 117.652304336423, 116.208559804703, 200, 2336.88304419164, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 3.6, 2.8, 200, 85.0134386874327, 60.1721509274591, 124.809683847605, 104.645908545432, 200, 2332.78469886837, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 3.6, 3, 200, 79.3159103039653, 58.5476523233549, 128.092490963565, 100.384677475177, 200, 2337.00982943578, 0
2.7e-06, 2.7e-06, 2.6, 2.6, 3.6, 3.6, 200, 66.7893014705328, 53.8606999067571, 136.946929748901, 91.9686633243477, 200, 2357.09108953247, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 2.4, 2.4, 200, 44.6913736526386, 43.0542539216363, 153.387041695989, 76.4252727986932, 200, 2390.07085555444, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 2.4, 2.8, 200, 41.4597268082298, 40.1347499767063, 158.913880812285, 76.1549101738929, 200, 2402.71450175488, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 2.4, 3, 200, 40.2484312834653, 38.7240648272056, 161.578529042729, 76.5263190421575, 200, 2407.13206792395, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 2.4, 3.6, 200, 37.7833791202017, 34.6838479042411, 169.460196835265, 79.1904534053131, 200, 2415.7582269951, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 2.8, 2.4, 200, 51.9838909749921, 46.2419931268107, 148.152825727536, 81.8846815420979, 200, 2374.6785781395, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 2.8, 2.8, 200, 47.8580180221132, 43.2369369020798, 153.902661210335, 80.7047360176459, 200, 2391.39410210806, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 2.8, 3, 200, 0, 41.7837557125372, 156.610568868033, 8.08104917318281, 200, 2512.20147729213, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 2.8, 3.6, 200, 42.5674960947745, 37.6172589966892, 164.472175513139, 81.7607941504477, 200, 2410.50992332832, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 3, 2.4, 200, 55.9473902958889, 47.8405936939477, 145.496089278211, 84.8789687309662, 200, 2366.66521507748, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 3, 2.8, 200, 51.326425786954, 44.7928641668104, 151.391139286911, 83.2228080408732, 200, 2384.62738857881, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 3, 3, 200, 49.4378684849022, 43.3184909578259, 154.135372592731, 82.8374165890948, 200, 2392.04645154756, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 3, 3.6, 200, 45.1953277422078, 39.0890359876091, 162.014654143122, 83.3235917843759, 200, 2407.22721360772, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 3.6, 2.4, 200, 70.473791699304, 52.6553025928353, 137.397482955437, 96.5764961332023, 200, 2344.71525528817, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 3.6, 2.8, 200, 62.8248586484548, 49.4799371105648, 143.802944291976, 91.652990696719, 200, 2362.92916184496, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 3.6, 3, 200, 0, 47.9421929109439, 146.706294464616, 3.46130111694087, 200, 2509.99941002211, 0
2.7e-06, 2.7e-06, 2.6, 4.35, 3.6, 3.6, 200, 54.1716623795555, 43.5245047153826, 154.756721292294, 89.2194906515121, 200, 2393.92664366594, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 2.4, 2.4, 200, 40.0511112476817, 34.5744504581805, 170.056941730687, 80.3965644263461, 200, 2405.77466915858, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 2.4, 2.8, 200, 37.8878783346882, 31.8485797675374, 175.741299575389, 81.7910250349984, 200, 2413.81388529434, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 2.4, 3, 200, 37.1185754803746, 30.5366044682528, 178.570992089478, 82.9435517651615, 200, 2416.56698736934, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 2.4, 3.6, 200, 35.4851974375403, 26.7993304148845, 187.135262652306, 87.3885926563078, 200, 2422.12514763791, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 2.8, 2.4, 200, 45.9724349881075, 37.503964698705, 164.858559615133, 84.6528216586605, 200, 2395.75021994615, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 2.8, 2.8, 200, 42.8547847080099, 34.6887063120407, 170.575454613804, 84.7776373246731, 200, 2407.64023050383, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 2.8, 3, 200, 41.7390607256979, 33.3323779251565, 173.382312374981, 85.4555708412168, 200, 2411.59458257756, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 2.8, 3.6, 200, 39.4959528926051, 29.4635257082843, 181.818477603486, 89.0756822726229, 200, 2419.16167600858, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 3, 2.4, 200, 49.1740407492017, 38.9738542577673, 162.261811462744, 87.0194286271353, 200, 2389.60895109664, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 3, 2.8, 200, 45.5989121054371, 36.1140101262268, 168.021465426115, 86.5929747106492, 200, 2403.72924130055, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 3, 3, 200, 44.2611859418972, 34.7355590285747, 170.824864469557, 86.9745574780184, 200, 2408.50111758337, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 3, 3.6, 200, 41.6057474491489, 30.8010697720639, 179.208315154506, 90.0386949820144, 200, 2417.42815828589, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 3.6, 2.4, 200, 59.4645208708777, 43.403806333308, 154.449390115138, 94.5493681236214, 200, 2369.1249064535, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 3.6, 2.8, 200, 54.7721971992927, 40.4106172087962, 160.44236798633, 93.0290622637394, 200, 2388.28800535637, 0
2.7e-06, 2.7e-06, 2.6, 6.1, 3.6, 3, 200, 52.808853921126, 38.9660028875868, 163.272215645709, 92.6754616586027, 200, 2395.971111032, 52
2.7e-06, 2.7e-06, 2.6, 6.1, 3.6, 3.6, 200, 48.504579518403, 34.8351946384175, 171.555797765348, 93.5994750067125, 200, 2410.80382044176, 0
2.7e-06, 2.7e-06, 4.35, 4, 2.4, 2.4, 200, 65.7141228580621, 53.5259555936459, 132.24142141961, 89.0980193305618, 200, 2357.33881768627, 0
2.7e-06, 2.7e-06, 4.35, 4, 2.4, 2.8, 200, 59.0501186300646, 50.1994602667248, 138.423980942944, 85.5732387423918, 200, 2375.5519070634, 0
2.7e-06, 2.7e-06, 4.35, 4, 2.4, 3, 200, 56.5264676441837, 48.5862049883715, 141.248889904694, 84.6480239016642, 200, 2383.60213933361, 0
2.7e-06, 2.7e-06, 4.35, 4, 2.4, 3.6, 200, 50.8493122742074, 43.942429937705, 149.130263675085, 83.8290147559901, 200, 2401.33455580298, 0
2.7e-06, 2.7e-06, 4.35, 4, 2.8, 2.4, 200, 82.5954131289464, 57.3609658740354, 126.16155137003, 103.761964356907, 200, 2338.29809224535, 0
2.7e-06, 2.7e-06, 4.35, 4, 2.8, 2.8, 200, 71.2905443283867, 53.9487293406943, 132.873308547623, 95.3816703366346, 200, 2354.95839943511, 0
2.7e-06, 2.7e-06, 4.35, 4, 2.8, 3, 200, 67.484007673125, 52.2928522580862, 135.905076897671, 93.1472775381313, 200, 2363.74176015573, 0
2.7e-06, 2.7e-06, 4.35, 4, 2.8, 3.6, 200, 59.5827375222097, 47.5222597692977, 144.133882352506, 90.1245162155872, 200, 2387.02631532154, 0
2.7e-06, 2.7e-06, 4.35, 4, 3, 2.4, 200, 92.6800811697592, 59.2829571720226, 123.06302968686, 112.568595847756, 200, 2333.31514795111, 0
2.7e-06, 2.7e-06, 4.35, 4, 3, 2.8, 200, 79.0812210087225, 55.82793907667, 130.017570713375, 102.015617936515, 200, 2345.46432690633, 0
2.7e-06, 2.7e-06, 4.35, 4, 3, 3, 200, 74.0964553373029, 54.1508009711323, 133.15983186161, 98.5385163845303, 200, 2353.85573143791, 0
2.7e-06, 2.7e-06, 4.35, 4, 3, 3.6, 200, 64.5046097393604, 49.3169652830792, 141.613192690819, 93.8056628378326, 200, 2378.24955439187, 0
2.7e-06, 2.7e-06, 4.35, 4, 3.6, 2.4, 200, 133.953408383114, 65.0668313412476, 113.835958808538, 149.03485707093, 200, 2358.89619278841, 0
2.7e-06, 2.7e-06, 4.35, 4, 3.6, 2.8, 200, 108.605178494787, 61.4838008058816, 121.302813632421, 127.429597740684, 200, 2335.01071810811, 0
2.7e-06, 2.7e-06, 4.35, 4, 3.6, 3, 200, 100.479274122173, 59.7430604795604, 124.728574938498, 121.105497539927, 200, 2333.89629620293, 0
2.7e-06, 2.7e-06, 4.35, 4, 3.6, 3.6, 200, 82.5586232097671, 54.7200833537586, 133.908495858684, 108.038458144937, 200, 2350.91450211589, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 2.4, 2.4, 200, 87.1480639461753, 62.6516453096902, 116.880628744625, 102.603120748133, 200, 2334.71398755231, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 2.4, 2.8, 200, 73.7742194538921, 59.1955402568819, 123.638550502768, 92.3665832515269, 200, 2347.38987255928, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 2.4, 3, 200, 69.0846420207617, 57.5154820238499, 126.734332180274, 89.2095577606881, 200, 2355.04976722032, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 2.4, 3.6, 200, 59.8240730936219, 52.6638372689313, 135.134167458202, 84.6106614330085, 200, 2376.77003705389, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 2.8, 2.4, 200, 118.00407929801, 66.7093493817227, 110.26831023184, 129.87424633965, 200, 2341.81297176185, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 2.8, 2.8, 200, 96.4025628855975, 63.1711091176247, 117.412586299962, 112.146088704543, 200, 2333.0222957158, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 2.8, 3, 200, 88.8813459818273, 61.4502357917383, 120.722796107649, 106.351917149709, 200, 2336.06213907494, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 2.8, 3.6, 200, 73.0869132136743, 56.4771625673697, 129.712743100071, 95.275841318937, 200, 2355.3195668434, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 3, 2.4, 200, 139.78738325386, 68.7424393475192, 107.016473969126, 149.372564321154, 200, 2362.57660180056, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 3, 2.8, 200, 110.37999073052, 65.1631958699616, 114.276839444888, 124.321970417236, 200, 2335.80483933253, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 3, 3, 200, 100.98961043546, 63.4219535471029, 117.665536697506, 116.850673174031, 200, 2333.00312734813, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 3, 3.6, 200, 81.5962129400301, 58.3883029927002, 126.916771882389, 102.492776279931, 200, 2345.2612535676, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 3.6, 2.4, 194.296452218216, 26.4645893516304, 74.8587556436732, 94.7868114205864, 26.2815915828373, 200, 2506.5892943489, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 3.6, 2.8, 200, 169.244646909005, 71.1567494878287, 105.120188076707, 175.487444992473, 200, 2410.42155239865, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 3.6, 3, 200, 152.662341904549, 69.3545414175584, 108.616926141821, 161.96823158033, 200, 2378.02602030433, 0
2.7e-06, 2.7e-06, 4.35, 2.6, 3.6, 3.6, 200, 114.635411601582, 64.1396428270576, 118.374969872152, 130.761555544775, 200, 2336.13177020459, 0
2.7e-06, 2.7e-06, 4.35, 4.35, 2.4, 2.4, 200, 62.8972969237547, 51.4152150110905, 135.764735926377, 88.1788161127031, 200, 2363.08847884464, 0
2.7e-06, 2.7e-06, 4.35, 4.35, 2.4, 2.8, 200, 56.9608244778392, 48.1227665314254, 141.828772439935, 85.4241241737113, 200, 2381.29794810036, 0
